Names	total	elements
		DCN1, defective in cullin neddylation 1, domain containing 5
		matrix metallopeptidase 16 (membrane-inserted)
		transmembrane protein 59
		Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
		DCN1, defective in cullin neddylation 1, domain containing 1
		neuron-derived neurotrophic factor
		cadherin 6, type 2, K-cadherin (fetal kidney)
		calcium/calmodulin-dependent protein kinase IV
		adducin 1 (alpha)
		unc-5 homolog D (C. elegans)
		metadherin
		SH3-domain GRB2-like (endophilin) interacting protein 1
hsa-miR-106b-5p hsa-miR-144-3p hsa-miR-758-3p	17	ADAM metallopeptidase with thrombospondin type 1 motif, 5
		muscleblind-like splicing regulator 3
		integrin, beta 6
		ATPase, Ca++ transporting, plasma membrane 2
		ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
		zinc finger and BTB domain containing 7A
		suppressor of cytokine signaling 7
		basic helix-loop-helix family, member e41
		zinc finger protein 618
		ubiquitin specific peptidase 31
		zinc finger and BTB domain containing 20
		cofilin 2 (muscle)
		RNA binding motif protein 15B
		chromosome 11 open reading frame 30
		tet methylcytosine dioxygenase 3
		casein kinase 1, alpha 1
		protein kinase (cAMP-dependent, catalytic) inhibitor alpha
hsa-miR-33a-5p hsa-miR-33b-5p	293	Gse1 coiled-coil protein
		2-aminoethanethiol (cysteamine) dioxygenase
		SH3-domain kinase binding protein 1
		progestin and adipoQ receptor family member III
		inositol(myo)-1(or 4)-monophosphatase 2
		myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
		pleckstrin homology domain containing, family M, member 3
		mitogen-activated protein kinase kinase kinase 7
		adenosylhomocysteinase-like 1
		wingless-type MMTV integration site family, member 10B
		PDZ domain containing 8
		mitogen-activated protein kinase 8
		multiple coagulation factor deficiency 2
		protein kinase C and casein kinase substrate in neurons 1
		MAM domain-containing glycosylphosphatidylinositol anchor protein 2
		T-box 15
		signal peptide peptidase like 3
		mitochondrial ribosomal protein L49
		carnitine palmitoyltransferase 1A (liver)
		nuclear transport factor 2
		ST3 beta-galactoside alpha-2,3-sialyltransferase 6
		isochorismatase domain containing 2
		shisa family member 5
		potassium inwardly-rectifying channel, subfamily J, member 1
		transmembrane emp24 protein transport domain containing 7
		phospholamban
		EPH receptor A8
		tripartite motif containing 6
		chromodomain helicase DNA binding protein 1
		MRS2 magnesium transporter
		required for meiotic nuclear division 5 homolog A (S. cerevisiae)
		RAB41, member RAS oncogene family
		BTB and CNC homology 1, basic leucine zipper transcription factor 1
		N-ethylmaleimide-sensitive factor
		capping protein (actin filament) muscle Z-line, beta
		agmatine ureohydrolase (agmatinase)
		transcription factor Dp-2 (E2F dimerization partner 2)
		hyaluronan synthase 3
		citrate synthase
		spindlin 1
		regulator of calcineurin 1
		zinc finger, MIZ-type containing 1
		ubiquitin-conjugating enzyme E2 variant 2
		glutamate receptor, metabotropic 8
		ecotropic viral integration site 5
		BTB (POZ) domain containing 2
		DAB2 interacting protein
		synapse defective 1, Rho GTPase, homolog 2 (C. elegans)
		endothelin receptor type B
		potassium channel tetramerization domain containing 16
		lin-28 homolog A (C. elegans)
		translocation associated membrane protein 2
		leucine rich repeat containing 4
		tropomyosin 3
		methionine sulfoxide reductase B3
		shisa family member 7
		KIAA0087
		leucine rich repeat containing 4C
		sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
		sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
		hyperpolarization activated cyclic nucleotide-gated potassium channel 1
		heterogeneous nuclear ribonucleoprotein A2/B1
		AF4/FMR2 family, member 3
		MACRO domain containing 2
		RNA binding protein with multiple splicing 2
		protein O-fucosyltransferase 2
		enhancer of polycomb homolog 2 (Drosophila)
		cyclin Y-like 1
		transmembrane protein 200B
		CD302 molecule
		engrailed homeobox 2
		podoplanin
		DnaJ (Hsp40) homolog, subfamily B, member 5
		SLU7 splicing factor homolog (S. cerevisiae)
		solute carrier family 12 (potassium/chloride transporter), member 5
		cyclin M1
		solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25
		eukaryotic translation elongation factor 1 alpha 1
		abhydrolase domain containing 13
		LUC7-like 3 (S. cerevisiae)
		UNC homeobox
		nuclear factor I/X (CCAAT-binding transcription factor)
		periplakin
		potassium inwardly-rectifying channel, subfamily J, member 13
		CDC42 binding protein kinase alpha (DMPK-like)
		protein inhibitor of activated STAT, 4
		pim-3 oncogene
		alkB, alkylation repair homolog 1 (E. coli)
		ceramide kinase
		BEN domain containing 6
		desmocollin 3
		hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit
		reversion-inducing-cysteine-rich protein with kazal motifs
		ZFP36 ring finger protein-like 1
		RIMS binding protein 2
		transmembrane protein 86A
		NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa
		growth arrest-specific 1
		tetratricopeptide repeat domain 28
		potassium channel, subfamily K, member 15
		single-minded homolog 2 (Drosophila)
		dachshund homolog 1 (Drosophila)
		RAS-like, estrogen-regulated, growth inhibitor
		decapping mRNA 1A
		neurexin 1
		translocase of inner mitochondrial membrane 9 homolog (yeast)
		ATP-binding cassette, sub-family B (MDR/TAP), member 5
		adrenoceptor alpha 2A
		X-box binding protein 1
		solute carrier family 17 (vesicular glutamate transporter), member 6
		Niemann-Pick disease, type C1
		staufen double-stranded RNA binding protein 2
		unc-79 homolog (C. elegans)
		gamma-aminobutyric acid (GABA) A receptor, alpha 4
		ST3 beta-galactoside alpha-2,3-sialyltransferase 2
		homeodomain interacting protein kinase 1
		spastin
		G protein-coupled receptor 88
		telomeric repeat binding factor 2
		ring finger protein 115
		KIAA1432
		ankyrin repeat domain 44
		DEAD (Asp-Glu-Ala-Asp) box polypeptide 46
		desumoylating isopeptidase 1
		proteasome (prosome, macropain) assembly chaperone 1
		insulin receptor substrate 2
		tensin 4
		sodium channel, voltage-gated, type X, alpha subunit
		A kinase (PRKA) anchor protein 12
		mitogen-activated protein kinase kinase kinase kinase 4
		Putative mitochondrial carrier protein LOC494141
		erbb2 interacting protein
		nuclear transcription factor Y, beta
		phosphodiesterase 3A, cGMP-inhibited
		RAP2A, member of RAS oncogene family
		zinc finger protein 281
		cleavage and polyadenylation specific factor 2, 100kDa
		proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)
		ring finger protein 19B
		syndecan 3
		NODAL modulator 2
		potassium channel, subfamily K, member 1
		dickkopf WNT signaling pathway inhibitor 1
		zinc finger protein 496
		adaptor-related protein complex 5, mu 1 subunit
		ankyrin and armadillo repeat containing
		HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
		glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)
		homeobox C13
		lactate dehydrogenase A
		EH-domain containing 4
		estrogen receptor binding site associated, antigen, 9
		colorectal cancer associated 1
		regulatory factor X, 7
		S-phase kinase-associated protein 1
		SET domain containing 9
		snail family zinc finger 2
		ring finger protein 165
		calcium channel, voltage-dependent, L type, alpha 1D subunit
		zinc finger protein 804B
		nucleosome assembly protein 1-like 4
		potassium channel tetramerization domain containing 1
		potassium voltage-gated channel, Shaw-related subfamily, member 3
		calneuron 1
		cell cycle exit and neuronal differentiation 1
		nuclear receptor coactivator 1
		RNA binding motif protein 33
		WD repeat domain 47
		heparan sulfate (glucosamine) 3-O-sulfotransferase 4
		GDP dissociation inhibitor 2
		N-acetylated alpha-linked acidic dipeptidase-like 2
		solute carrier family 35, member E1
		mitochondrial ribosomal protein S25
		runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
		paraneoplastic Ma antigen 2
		casein kinase 1, delta
		TAR DNA binding protein
		cyclin Y
		poly(A) polymerase alpha
